(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [410, 0, 18, 23, 16, 1, 2, 1, 0, 514], 'reward': -1, 'action': 1, 'done': False})
(3, {'state': [310, 0, 18, 23, 16, 1, 2, 1, 0, 515], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [950, 0, 20, 31, 16, 1, 2, 2, 2, 761], 'reward': 10497, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 72], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [210, 0, 15, 23, 15, 1, 1, 0, 0, 237], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [60, 0, 16, 23, 15, 1, 1, 0, 0, 238], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [680, 0, 16, 23, 16, 1, 2, 1, 0, 516], 'reward': -1, 'action': 3, 'done': False})
(2, {'state': [530, 0, 18, 23, 16, 1, 2, 1, 0, 517], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [435, 0, 18, 23, 16, 1, 2, 1, 0, 518], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [1090, 0, 20, 23, 16, 1, 2, 2, 2, 765], 'reward': 10471, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [5, 0, 14, 15, 13, 1, 0, 0, 0, 74], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [200, 0, 15, 23, 15, 1, 1, 0, 0, 236], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [50, 0, 16, 23, 15, 1, 1, 0, 0, 237], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [660, 0, 16, 23, 16, 1, 2, 1, 0, 514], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [560, 0, 18, 23, 16, 1, 2, 1, 0, 515], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [1215, 0, 20, 23, 16, 1, 2, 1, 2, 763], 'reward': 10484, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 72], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [90, 0, 15, 23, 15, 1, 1, 0, 0, 232], 'reward': -1, 'action': 2, 'done': False})
(0, {'state': [50, 0, 15, 23, 15, 1, 1, 0, 0, 233], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [0, 0, 16, 23, 15, 1, 2, 1, 0, 281], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [500, 0, 16, 23, 16, 1, 2, 2, 0, 506], 'reward': -1, 'action': 3, 'done': False})
(1, {'state': [400, 0, 18, 23, 16, 1, 2, 2, 0, 507], 'reward': -1, 'action': 1, 'done': False})
(3, {'state': [300, 0, 18, 23, 16, 1, 2, 2, 0, 508], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [675, 0, 20, 31, 16, 1, 2, 2, 2, 652], 'reward': 11215, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [5, 0, 14, 15, 13, 1, 0, 0, 0, 74], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [110, 0, 15, 23, 15, 1, 1, 0, 0, 234], 'reward': -1, 'action': 2, 'done': False})
(0, {'state': [60, 0, 15, 23, 15, 1, 1, 0, 0, 235], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [0, 0, 16, 23, 15, 1, 2, 1, 0, 274], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [495, 0, 16, 23, 16, 1, 2, 2, 0, 507], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [400, 0, 18, 23, 16, 1, 2, 2, 0, 508], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [810, 0, 20, 23, 16, 1, 2, 2, 2, 655], 'reward': 11195, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [5, 0, 14, 15, 13, 1, 0, 0, 0, 74], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [100, 0, 15, 23, 15, 1, 1, 0, 0, 237], 'reward': -1, 'action': 2, 'done': False})
(0, {'state': [50, 0, 15, 23, 15, 1, 1, 0, 0, 238], 'reward': -1, 'action': 0, 'done': False})
(3, {'state': [650, 0, 16, 23, 16, 1, 2, 1, 0, 510], 'reward': -1, 'action': 3, 'done': False})
(2, {'state': [505, 0, 18, 23, 16, 1, 2, 1, 0, 511], 'reward': -1, 'action': 2, 'done': False})
(1, {'state': [410, 0, 18, 23, 16, 1, 2, 1, 0, 512], 'reward': -1, 'action': 1, 'done': False})
(3, {'state': [310, 0, 18, 23, 16, 1, 2, 1, 0, 513], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [940, 0, 20, 31, 16, 1, 2, 2, 2, 759], 'reward': 10510, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 72], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [5, 0, 14, 15, 13, 1, 0, 0, 0, 122], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [110, 0, 15, 23, 15, 1, 1, 0, 0, 238], 'reward': -1, 'action': 2, 'done': False})
(0, {'state': [60, 0, 15, 23, 15, 1, 1, 0, 0, 239], 'reward': -1, 'action': 0, 'done': False})
(3, {'state': [680, 0, 16, 23, 16, 1, 2, 1, 0, 513], 'reward': -1, 'action': 3, 'done': False})
(2, {'state': [530, 0, 18, 23, 16, 1, 2, 1, 0, 514], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [430, 0, 18, 23, 16, 1, 2, 1, 0, 515], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [1100, 0, 20, 23, 16, 1, 2, 2, 2, 762], 'reward': 10491, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [5, 0, 14, 15, 13, 1, 0, 0, 0, 74], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [100, 0, 15, 23, 15, 1, 1, 0, 0, 237], 'reward': -1, 'action': 2, 'done': False})
(0, {'state': [50, 0, 15, 23, 15, 1, 1, 0, 0, 238], 'reward': -1, 'action': 0, 'done': False})
(3, {'state': [650, 0, 16, 23, 16, 1, 2, 1, 0, 511], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [555, 0, 18, 23, 16, 1, 2, 1, 0, 512], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [1225, 0, 20, 23, 16, 1, 2, 1, 2, 760], 'reward': 10504, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 72], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [5, 0, 14, 15, 13, 1, 0, 0, 0, 122], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [100, 0, 15, 23, 15, 1, 1, 0, 0, 235], 'reward': -1, 'action': 2, 'done': False})
(2, {'state': [0, 0, 15, 23, 15, 1, 2, 1, 0, 256], 'reward': -1, 'action': 2, 'done': False})
(0, {'state': [0, 0, 15, 23, 15, 1, 2, 2, 0, 276], 'reward': -1, 'action': 0, 'done': False})
(3, {'state': [505, 0, 16, 23, 16, 1, 2, 2, 0, 509], 'reward': -1, 'action': 3, 'done': False})
(1, {'state': [405, 0, 18, 23, 16, 1, 2, 2, 0, 510], 'reward': -1, 'action': 1, 'done': False})
(3, {'state': [305, 0, 18, 23, 16, 1, 2, 2, 0, 511], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [605, 0, 20, 31, 16, 1, 2, 2, 2, 624], 'reward': 11404, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 72], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [100, 0, 15, 23, 15, 1, 1, 0, 0, 234], 'reward': -1, 'action': 2, 'done': False})
(2, {'state': [0, 0, 15, 23, 15, 1, 2, 1, 0, 254], 'reward': -1, 'action': 2, 'done': False})
(0, {'state': [0, 0, 15, 23, 15, 1, 2, 2, 0, 278], 'reward': -1, 'action': 0, 'done': False})
(3, {'state': [505, 0, 16, 23, 16, 1, 2, 2, 0, 511], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [415, 0, 18, 23, 16, 1, 2, 2, 0, 512], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [715, 0, 20, 23, 16, 1, 2, 2, 2, 622], 'reward': 11417, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [5, 0, 14, 15, 13, 1, 0, 0, 0, 74], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [100, 0, 15, 23, 15, 1, 1, 0, 0, 236], 'reward': -1, 'action': 2, 'done': False})
(2, {'state': [0, 0, 15, 23, 15, 1, 2, 1, 0, 254], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [520, 0, 15, 23, 15, 1, 2, 2, 0, 514], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [420, 0, 17, 23, 15, 1, 2, 2, 0, 515], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [700, 0, 19, 23, 15, 1, 2, 2, 2, 630], 'reward': 11363, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [5, 0, 14, 15, 13, 1, 0, 0, 0, 74], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [100, 0, 15, 23, 15, 1, 1, 0, 0, 236], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [655, 0, 15, 23, 15, 1, 2, 1, 0, 509], 'reward': -1, 'action': 3, 'done': False})
(2, {'state': [510, 0, 17, 23, 15, 1, 2, 1, 0, 510], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [425, 0, 17, 23, 15, 1, 2, 1, 0, 511], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [1015, 0, 19, 23, 15, 1, 2, 2, 2, 758], 'reward': 10517, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [5, 0, 14, 15, 13, 1, 0, 0, 0, 74], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 121], 'reward': -1, 'action': 1, 'done': False})
(2, {'state': [105, 0, 15, 23, 15, 1, 1, 0, 0, 237], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [690, 0, 15, 23, 15, 1, 2, 1, 0, 512], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [590, 0, 17, 23, 15, 1, 2, 1, 0, 513], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [1205, 0, 19, 23, 15, 1, 2, 1, 2, 761], 'reward': 10497, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 96], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [0, 0, 14, 15, 13, 1, 1, 0, 0, 122], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [135, 0, 15, 23, 15, 1, 1, 0, 0, 211], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [0, 0, 16, 23, 15, 1, 1, 0, 0, 217], 'reward': -1, 'action': 2, 'done': False})
(2, {'state': [0, 0, 16, 23, 16, 1, 2, 1, 0, 281], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [435, 0, 16, 23, 16, 1, 2, 2, 0, 492], 'reward': -1, 'action': 3, 'done': False})
(1, {'state': [335, 0, 18, 23, 16, 1, 2, 2, 0, 493], 'reward': -1, 'action': 1, 'done': False})
(3, {'state': [240, 0, 18, 23, 16, 1, 2, 2, 0, 494], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [655, 0, 20, 31, 16, 1, 2, 2, 2, 655], 'reward': 11195, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 95], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [0, 0, 14, 15, 13, 1, 1, 0, 0, 122], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [135, 0, 15, 23, 15, 1, 1, 0, 0, 210], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [0, 0, 16, 23, 15, 1, 1, 0, 0, 217], 'reward': -1, 'action': 2, 'done': False})
(2, {'state': [0, 0, 16, 23, 16, 1, 2, 1, 0, 278], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [480, 0, 16, 23, 16, 1, 2, 2, 0, 498], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [380, 0, 18, 23, 16, 1, 2, 2, 0, 499], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [815, 0, 20, 23, 16, 1, 2, 2, 2, 656], 'reward': 11189, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 95], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [0, 0, 14, 15, 13, 1, 1, 0, 0, 122], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [145, 0, 15, 23, 15, 1, 1, 0, 0, 210], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [0, 0, 16, 23, 15, 1, 1, 0, 0, 211], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [615, 0, 16, 23, 16, 1, 2, 1, 0, 490], 'reward': -1, 'action': 3, 'done': False})
(2, {'state': [470, 0, 18, 23, 16, 1, 2, 1, 0, 491], 'reward': -1, 'action': 2, 'done': False})
(1, {'state': [380, 0, 18, 23, 16, 1, 2, 1, 0, 492], 'reward': -1, 'action': 1, 'done': False})
(3, {'state': [280, 0, 18, 23, 16, 1, 2, 1, 0, 493], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [900, 0, 20, 31, 16, 1, 2, 2, 2, 739], 'reward': 10640, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 96], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [0, 0, 14, 15, 13, 1, 1, 0, 0, 122], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [140, 0, 15, 23, 15, 1, 1, 0, 0, 209], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [0, 0, 16, 23, 15, 1, 1, 0, 0, 212], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [635, 0, 16, 23, 16, 1, 2, 1, 0, 492], 'reward': -1, 'action': 3, 'done': False})
(2, {'state': [485, 0, 18, 23, 16, 1, 2, 1, 0, 493], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [385, 0, 18, 23, 16, 1, 2, 1, 0, 494], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [1035, 0, 20, 23, 16, 1, 2, 2, 2, 741], 'reward': 10627, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 96], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [0, 0, 14, 15, 13, 1, 1, 0, 0, 122], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [145, 0, 15, 23, 15, 1, 1, 0, 0, 211], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [0, 0, 16, 23, 15, 1, 1, 0, 0, 212], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [605, 0, 16, 23, 16, 1, 2, 1, 0, 491], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [515, 0, 18, 23, 16, 1, 2, 1, 0, 492], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [1170, 0, 20, 23, 16, 1, 2, 1, 2, 740], 'reward': 10634, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 95], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [0, 0, 14, 15, 13, 1, 1, 0, 0, 122], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [35, 0, 15, 23, 15, 1, 1, 0, 0, 210], 'reward': -1, 'action': 2, 'done': False})
(0, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 217], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [0, 0, 16, 23, 15, 1, 2, 1, 0, 281], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [430, 0, 16, 23, 16, 1, 2, 2, 0, 482], 'reward': -1, 'action': 3, 'done': False})
(1, {'state': [330, 0, 18, 23, 16, 1, 2, 2, 0, 483], 'reward': -1, 'action': 1, 'done': False})
(3, {'state': [230, 0, 18, 23, 16, 1, 2, 2, 0, 484], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [700, 0, 20, 31, 16, 1, 2, 2, 2, 664], 'reward': 11135, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 95], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [0, 0, 14, 15, 13, 1, 1, 0, 0, 122], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [35, 0, 15, 23, 15, 1, 1, 0, 0, 210], 'reward': -1, 'action': 2, 'done': False})
(0, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 217], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [0, 0, 16, 23, 15, 1, 2, 1, 0, 278], 'reward': -1, 'action': 2, 'done': False})
(3, {'state': [430, 0, 16, 23, 16, 1, 2, 2, 0, 486], 'reward': -1, 'action': 3, 'done': False})
(3, {'state': [330, 0, 18, 23, 16, 1, 2, 2, 0, 487], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [805, 0, 20, 23, 16, 1, 2, 2, 2, 662], 'reward': 11148, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 96], 'reward': -1, 'action': 1, 'done': False})
(0, {'state': [0, 0, 14, 15, 13, 1, 1, 0, 0, 122], 'reward': -1, 'action': 0, 'done': False})
(2, {'state': [40, 0, 15, 23, 15, 1, 1, 0, 0, 209], 'reward': -1, 'action': 2, 'done': False})
(0, {'state': [0, 0, 15, 23, 15, 1, 1, 0, 0, 212], 'reward': -1, 'action': 0, 'done': False})
(3, {'state': [575, 0, 16, 23, 16, 1, 2, 1, 0, 479], 'reward': -1, 'action': 3, 'done': False})
(2, {'state': [435, 0, 18, 23, 16, 1, 2, 1, 0, 480], 'reward': -1, 'action': 2, 'done': False})
(1, {'state': [335, 0, 18, 23, 16, 1, 2, 1, 0, 481], 'reward': -1, 'action': 1, 'done': False})
(3, {'state': [235, 0, 18, 23, 16, 1, 2, 1, 0, 482], 'reward': -1, 'action': 3, 'done': False})
(9, {'state': [875, 0, 20, 31, 16, 1, 2, 2, 2, 728], 'reward': 10712, 'action': None, 'done': True})

(0, {'state': [0, 0, 12, 15, 12, 1, 0, 0, 0, 0], 'reward': -1, 'action': 0, 'done': False})
(0, {'state': [0, 0, 13, 15, 12, 1, 0, 0, 0, 45], 'reward': -1, 'action': 0, 'done': False})
(1, {'state': [0, 0, 14, 15, 13, 1, 0, 0, 0, 96], 'reward': -1, 'action': 1, 'done': False})
